area,mask,images,flower_number,distance,imagej_area,flower_color,morphology,Notes
7.266297262,api/data/output/flower_0.5_55cfe032-8b9a-49e5-9447-ac394da62be3@2024-04-01@PXL_20240214_172530114_80cm_F6_.jpg,PXL_20240214_172530114_80cm_F6_.jpg,F6,80cm,7.953,T1,C1,
0.5834518055,api/data/output/flower_0.5_2d05f0cf-fb5e-43f7-95cb-290972724be4@2024-04-01@PXL_20240214_173554009_80cm_F11_.jpg,PXL_20240214_173554009_80cm_F11_.jpg,F11,80cm,0.522,T5,C3,
4.429894737,api/data/output/flower_0.5_bbd65693-d4cf-418c-b4a9-7d738652cd9b@2024-04-01@PXL_20240214_175708911_100cm_F23_.jpg,PXL_20240214_175708911_100cm_F23_.jpg,F23,100cm,5.567,T3,C2,Area is off
3.113293051,api/data/output/flower_0.5_cf292e22-f35e-4caf-975e-814b2a08466f@2024-04-01@PXL_20240214_175352365_100cm_F21_.jpg,PXL_20240214_175352365_100cm_F21_.jpg,F21,100cm,3.053,T2,C2,
20.53513672,api/data/output/flower_0.5_00c41aee-211f-4968-a5cb-a51cc80425c7@2024-04-01@PXL_20240214_174000188_80cm_F13_.jpg,PXL_20240214_174000188_80cm_F13_.jpg,F13,80cm,20.396,T4,C3,
2.948533481,api/data/output/flower_0.5_65a81460-0ecb-4f90-b5c7-c6587004d0c8@2024-04-01@PXL_20240214_175405036_80cm_F21_.jpg,PXL_20240214_175405036_80cm_F21_.jpg,F21,80cm,3.17,T2,C2,
5.657531944,api/data/output/flower_0.5_4db92168-3fef-4ea1-8ea6-b4d3eefefd6a@2024-04-01@PXL_20240214_175033319_60cm_F18_.jpg,PXL_20240214_175033319_60cm_F18_.jpg,F18,60cm,5.578,T2,C2,
15.5834156,api/data/output/flower_0.5_9ca48d1f-d4dd-4a44-ada7-df19c2f2a6cd@2024-04-01@PXL_20240214_173904525_100cm_F13_.jpg,PXL_20240214_173904525_100cm_F13_.jpg,F13,100cm,15.342,T4,C3,
0,api/data/output/flower_0.5_17007675-f140-419b-a38b-faa8c7c9d031@2024-04-01@PXL_20240214_173731980_100cm_F12_.jpg,PXL_20240214_173731980_100cm_F12_.jpg,F12,100cm,0.447,T4,C3,
8.926576718,api/data/output/flower_0.5_7d2776d6-c8f2-4c5c-bd40-f2469120504b@2024-04-01@PXL_20240214_172130671_60cm_F4_.jpg,PXL_20240214_172130671_60cm_F4_.jpg,F4,60cm,9.709,T2,C2,Area is off
