images,flower_number,imagej_area,flower_color,morphology
PXL_20240612_200614241.tif,F1,13.242,Pink,C3
PXL_20240612_200707249.tif,F2,51.383,"White,Yellow,Red",C2
PXL_20240612_201017550.tif,F3,10.95,"White,Yellow,Red",C2
PXL_20240612_201113770.tif,F4,19.372,"White,Yellow,Red",C2
PXL_20240612_201201358-1.tif,F5,114.592,"White,Red,Purple",C2
PXL_20240612_201250980.tif,F6,4.033,Pink,C2
PXL_20240612_201327092.tif,F7,5.358,Pink,C2
PXL_20240612_201438159.tif,F8,180.124,"Pink,Purple",C2
PXL_20240612_201528529.tif,F9,97.437,"White,Pink",C2
PXL_20240612_201707504.tif,F10,106.154,"Red,Purple",C2
PXL_20240612_201823229.tif,F11,1.458,Pink,C3
PXL_20240612_202029224.tif,F12,46.751,"White,Red,Purple",C2
PXL_20240612_202057540.tif,F13,33.677,"White,Pink,Purple",C2
PXL_20240612_202327602.tif,F14,65.948,"White,Purple",C2
PXL_20240612_202400729.tif,F15,93.791,"White, Red",C2
PXL_20240612_202426517.tif,F16,25.918,Purple,C2
PXL_20240612_202439839.tif,F17,59.113,"White,Purple",C2
PXL_20240612_202456194.tif,F18,56.483,"Pink,Purple",C2
PXL_20240612_202512448.tif,F19,21.497,"Yellow,Red",C2
PXL_20240612_202550611.tif,F20,69.937,"White,Red",C2
PXL_20240612_202614032.tif,F21,94.279,"White, Purple",C2
PXL_20240612_202659347.tif,F22,65.599,"White, Red",C2
PXL_20240612_202756733.tif,F23,57.612,"White,Pink,Purple",C2
PXL_20240612_202833813.tif,F24,12.278,Pink,C3
PXL_20240612_202905992.tif,F25,40.481,"White,Red,Purple",C2
PXL_20240612_202935133.tif,F26,12.321,"White,Red,Pink",C3
PXL_20240612_203019598.tif,F27,55.49,"Red,Purple",C2
PXL_20240612_203044347.tif,F28,10.774,"White,Red,Pink",C3
PXL_20240612_203122851.tif,F29,13.467,"White,Red,Pink",C3
PXL_20240612_203143722.tif,F30,12.094,Pink,C3
PXL_20240612_203217129.tif,F31,66.722,"White,Red,Pink",C2
PXL_20240612_203254878.tif,F32,35.464,"White,Purple",C2
