images,flower_number,distance,flower_color,imagej_area,morphology,area,mask
PXL_20240214_172530114_80cm_F6_.jpg,F6,80cm,T1,7.953,C1,6.956947162426615,api/data/output/flower_0.25_7b15cb6d-1873-4d33-b30b-57c70876dc59@2024-11-20@PXL_20240214_172530114_80cm_F6_.jpg
PXL_20240214_173554009_80cm_F11_.jpg,F11,80cm,T5,0.522,C3,1.8128022759601705,api/data/output/flower_0.25_3889e247-c5d9-461c-ad68-3fa745d019ed@2024-11-20@PXL_20240214_173554009_80cm_F11_.jpg
PXL_20240214_175708911_100cm_F23_.jpg,F23,100cm,T3,5.567,C2,5.914285714285715,api/data/output/flower_0.25_d2a6100a-af7d-473d-8773-1b32786afc9a@2024-11-20@PXL_20240214_175708911_100cm_F23_.jpg
PXL_20240214_175352365_100cm_F21_.jpg,F21,100cm,T2,3.053,C2,5.898678414096916,api/data/output/flower_0.25_951b2569-739c-4b11-adc2-dbaf27af475e@2024-11-20@PXL_20240214_175352365_100cm_F21_.jpg
PXL_20240214_174000188_80cm_F13_.jpg,F13,80cm,T4,20.396,C3,30.037668161434976,api/data/output/flower_0.25_4a465dbf-2023-4f2f-9e62-0a53c324876a@2024-11-20@PXL_20240214_174000188_80cm_F13_.jpg
PXL_20240214_175405036_80cm_F21_.jpg,F21,80cm,T2,3.17,C2,3.865573770491803,api/data/output/flower_0.25_768355e5-e3af-4cd0-a2c6-84ba18b0db07@2024-11-20@PXL_20240214_175405036_80cm_F21_.jpg
PXL_20240214_173904525_100cm_F13_.jpg,F13,100cm,T4,15.342,C3,18.900000000000002,api/data/output/flower_0.25_5b87dfa3-16af-4003-8eac-c58ac7f1779c@2024-11-20@PXL_20240214_173904525_100cm_F13_.jpg
PXL_20240214_173731980_100cm_F12_.jpg,F12,100cm,T4,0.447,C3,4.40951446787641,api/data/output/flower_0.25_63f7efe4-b35f-47f3-a17c-76684a742b1a@2024-11-20@PXL_20240214_173731980_100cm_F12_.jpg
PXL_20240214_172130671_60cm_F4_.jpg,F4,60cm,T2,9.709,C2,10.420977693402943,api/data/output/flower_0.25_7d827e46-4ac4-40d5-aa92-5327a5ccf15b@2024-11-20@PXL_20240214_172130671_60cm_F4_.jpg
PXL_20240214_174619635_100cm_F15_.jpg,F15,100cm,T4,55.739,C3,55.53015873015873,api/data/output/flower_0.25_2864bc5c-a810-45f6-be4e-b086212919ac@2024-11-20@PXL_20240214_174619635_100cm_F15_.jpg
PXL_20240214_175016038_100cm_F18_.jpg,F18,100cm,T2,4.239,C2,4.83176645225136,api/data/output/flower_0.25_f3a11c4e-9837-4f08-aa8c-2351b704399a@2024-11-20@PXL_20240214_175016038_100cm_F18_.jpg
PXL_20240214_175122307_80cm_F19_.jpg,F19,80cm,T2,5.149,C2,5.412664423371061,api/data/output/flower_0.25_c693a735-54ac-4ec8-8ab5-9a7c237eb839@2024-11-20@PXL_20240214_175122307_80cm_F19_.jpg
PXL_20240214_174857541_100cm_F17_.jpg,F17,100cm,T2,1.929,C2,2.159309021113244,api/data/output/flower_0.25_3d704158-5473-47f1-8549-1231c52e4fd3@2024-11-20@PXL_20240214_174857541_100cm_F17_.jpg
PXL_20240214_172902391_100cm_F7_.jpg,F7,100cm,T3,12.958,C2,16.455578093306286,api/data/output/flower_0.25_277fe642-f3aa-41d8-afb0-cd573a33264a@2024-11-20@PXL_20240214_172902391_100cm_F7_.jpg
PXL_20240214_171637048_100cm_F1_.jpg,F1,100cm,T1,5.207,C1,6.123520329387545,api/data/output/flower_0.25_b8d2381d-a7a5-4327-ac0e-03acd9fc6b03@2024-11-20@PXL_20240214_171637048_100cm_F1_.jpg
PXL_20240214_172005738_100cm_F3_.jpg,F3,100cm,T1,1.531,C1,1.6833646777226876,api/data/output/flower_0.25_90f3cf0b-0f31-4b4c-a837-e22d0c87116f@2024-11-20@PXL_20240214_172005738_100cm_F3_.jpg
PXL_20240214_171819047_100cm_F2_.jpg,F2,100cm,T1,6.22,C1,7.429732313575526,api/data/output/flower_0.25_41c663f0-0057-4a5a-bc40-835a9576204a@2024-11-20@PXL_20240214_171819047_100cm_F2_.jpg
PXL_20240214_175600353_100cm_F22_.jpg,F22,100cm,T3,2.897,C2,3.8263473053892216,api/data/output/flower_0.25_48a06e13-8e27-423b-9c1e-c0f7cd33d1eb@2024-11-20@PXL_20240214_175600353_100cm_F22_.jpg
PXL_20240214_173425086_80cm_F10_.jpg,F10,80cm,T4,2.992,C3,13.118090452261306,api/data/output/flower_0.25_1825ad53-ac83-4508-9eba-b73fe3c06d71@2024-11-20@PXL_20240214_173425086_80cm_F10_.jpg
PXL_20240214_175608164_80cm_F22_.jpg,F22,80cm,T3,3.329,C2,3.6429819452533487,api/data/output/flower_0.25_6b17515f-771c-408c-b25d-ee21511d6b69@2024-11-20@PXL_20240214_175608164_80cm_F22_.jpg
PXL_20240214_174424831_90cm_F14_.jpg,F14,90cm,T4,32.593,C3,34.045834727333556,api/data/output/flower_0.25_231ea3ed-8ca2-41bc-a8a8-7bc7d2ab0d62@2024-11-20@PXL_20240214_174424831_90cm_F14_.jpg
PXL_20240214_174325426_100cm_F14_.jpg,F14,100cm,T4,29.705,C3,34.230842455973345,api/data/output/flower_0.25_45b94e6f-3e9c-48e5-94f3-fd2ce925ebe3@2024-11-20@PXL_20240214_174325426_100cm_F14_.jpg
PXL_20240214_171937537_100cm_F3_.jpg,F3,100cm,T1,1.07,C1,2.12199124726477,api/data/output/flower_0.25_8084b897-6dc6-42c5-b291-dd94f0ac8792@2024-11-20@PXL_20240214_171937537_100cm_F3_.jpg
PXL_20240214_172801012_80cm_F7_.jpg,F7,80cm,T3,15.805,C2,16.792929292929294,api/data/output/flower_0.25_9a49bafd-2df1-41c2-8341-bcc9eabe59c7@2024-11-20@PXL_20240214_172801012_80cm_F7_.jpg
PXL_20240214_173542045_100cm_F11_.jpg,F11,100cm,T5,0.473,C3,11.333333333333334,api/data/output/flower_0.25_53294189-999f-453d-88e1-37eb9939d837@2024-11-20@PXL_20240214_173542045_100cm_F11_.jpg
PXL_20240214_171827242_100cm_F2_.jpg,F2,80cm,T1,6.998,C1,8.1114476075106,api/data/output/flower_0.25_7bc20171-0f97-48f2-a033-053bfcc12630@2024-11-20@PXL_20240214_171827242_100cm_F2_.jpg
