images,flower_number,distance,imagej_area,flower_color,morphology,Notes
PXL_20240214_172530114_80cm_F6_.jpg,F6,80cm,7.953,T1,C1,
PXL_20240214_173554009_80cm_F11_.jpg,F11,80cm,0.522,T5,C3,
PXL_20240214_175708911_100cm_F23_.jpg,F23,100cm,5.567,T3,C2,Area is off
PXL_20240214_175352365_100cm_F21_.jpg,F21,100cm,3.053,T2,C2,
PXL_20240214_174000188_80cm_F13_.jpg,F13,80cm,20.396,T4,C3,
PXL_20240214_175405036_80cm_F21_.jpg,F21,80cm,3.17,T2,C2,
PXL_20240214_175033319_60cm_F18_.jpg,F18,60cm,5.578,T2,C2,
PXL_20240214_173904525_100cm_F13_.jpg,F13,100cm,15.342,T4,C3,
PXL_20240214_173731980_100cm_F12_.jpg,F12,100cm,0.447,T4,C3,
PXL_20240214_172130671_60cm_F4_.jpg,F4,60cm,9.709,T2,C2,Area is off
PXL_20240214_174053319_60cm_F13_.jpg,F13,60cm,35.9,T4,C3,
PXL_20240214_174619635_100cm_F15_.jpg,F15,100cm,55.739,T4,C3,
PXL_20240214_175016038_100cm_F18_.jpg,F18,100cm,4.239,T2,C2,
PXL_20240214_175122307_80cm_F19_.jpg,F19,80cm,5.149,T2,C2,
PXL_20240214_174857541_100cm_F17_.jpg,F17,100cm,1.929,T2,C2,
PXL_20240214_172902391_100cm_F7_.jpg,F7,100cm,12.958,T3,C2,Area is a little off
PXL_20240214_171637048_100cm_F1_.jpg,F1,100cm,5.207,T1,C1,
PXL_20240214_172812015_60cm_F7_.jpg,F7,60cm,18.595,T3,C2,
PXL_20240214_172005738_100cm_F3_.jpg,F3,100cm,1.531,T1,C1,
PXL_20240214_171819047_100cm_F2_.jpg,F2,100cm,6.22,T1,C1,Area is a little off
PXL_20240214_175600353_100cm_F22_.jpg,F22,100cm,2.897,T3,C2,
PXL_20240214_173425086_80cm_F10_.jpg,F10,80cm,2.992,T4,C3,
PXL_20240214_175608164_80cm_F22_.jpg,F22,80cm,3.329,T3,C2,Area is a little off
PXL_20240214_174424831_90cm_F14_.jpg,F14,90cm,32.593,T4,C3,
PXL_20240214_174325426_100cm_F14_.jpg,F14,100cm,29.705,T4,C3,Area is off
PXL_20240214_171937537_100cm_F3_.jpg,F3,100cm,1.07,T1,C1,
PXL_20240214_172801012_80cm_F7_.jpg,F7,80cm,15.805,T3,C2,
PXL_20240214_173542045_100cm_F11_.jpg,F11,100cm,0.473,T5,C3,
PXL_20240214_174810162_60cm_F16_.jpg,F16,60cm,11.036,T3,C2,Area is a little off
PXL_20240214_171827242_100cm_F2_.jpg,F2,80cm,6.998,T1,C1,Mistaken for 100cm
PXL_20240214_173058624_100cm_F8_.jpg,F8,100cm,1.19,T1,C1,
PXL_20240214_173256770_60cm_F9_.jpg,F9,60cm,10.065,T3,C2,Area is a little off
PXL_20240214_175022538_80cm_F18_.jpg,F18,80cm,4.866,T2,C2,
PXL_20240214_173112853_80cm_F8_.jpg,F8,80cm,1.19,T1,C1,
PXL_20240214_173605233_60cm_F11_.jpg,F11,60cm,0.486,T5,C3,
PXL_20240214_173124719_60cm_F8_.jpg,F8,60cm,1.35,T1,C1,
PXL_20240214_174440129_80cm_F14_.jpg,F14,80cm,38.249,T4,C3,Area is off
PXL_20240214_173951011_90cm_F13_.jpg,F13,90cm,15.583,T4,C3,
PXL_20240214_172851466_80cm_F7_.jpg,F7,80cm,14.207,T3,C2,Area is off
PXL_20240214_175112414_100cm_F19_.jpg,F19,100cm,4.449,T2,C2,
PXL_20240214_173235450_100cm_F9_.jpg,F9,100cm,7.904,T3,C2,
PXL_20240214_172844073_60cm_F7_.jpg,F7,60cm,16.569,T3,C2,Area is a little off
PXL_20240214_172104621_100cm_F4_.jpg,F4,100cm,7.823,T2,C2,Area is off
PXL_20240214_172542241_60cm_F6_.jpg,F6,60cm,12.191,T1,C1,
PXL_20240214_174540998_90cm_F15_.jpg,F15,90cm,43.717,T4,C3,
PXL_20240214_173743909_80cm_F12_.jpg,F12,80cm,0.605,T4,C3,
PXL_20240214_175256173_60cm_F20_.jpg,F20,60cm,21.465,T3,C2,
PXL_20240214_175233333_100cm_F20_.jpg,F20,100cm,15.104,T3,C2,
PXL_20240214_175618723_60cm_F22_.jpg,F22,60cm,3.709,T3,C2,Area is a little off
PXL_20240214_174906125_80cm_F17_.jpg,F17,80cm,2.365,T2,C2,
PXL_20240214_175242905_80cm_F20_.jpg,F20,80cm,17.847,T3,C2,Area is off
PXL_20240214_171837365_60cm_F2_.jpg,F2,60cm,8.91,T1,C1,Area is off
PXL_20240214_174443010_80cm_F14_.jpg,F14,80cm,38.679,T4,C3,Area is off
PXL_20240214_171953310_80cm_F3_.jpg,F3,80cm,1.217,T1,C1,
PXL_20240214_173410846_100cm_F10_.jpg,F10,100cm,2.542,T4,C3,
PXL_20240214_172351335_100cm_F5_.jpg,F5,100cm,2.602,T1,C1,
PXL_20240214_173246124_80cm_F9_.jpg,F9,80cm,9.159,T3,C2,
PXL_20240214_171724834_60cm_F1_.jpg,F1,60cm,7.626,T1,C1,
PXL_20240214_175447286_60cm_F21_.jpg,F21,60cm,3.375,T2,C2,
PXL_20240214_175542573_100cm_F22_.jpg,F22,100cm,3.63,T3,C2,
PXL_20240214_172835282_60cm_F7_.jpg,F7,60cm,17.574,T3,C2,Area is off
PXL_20240214_174605604_80cm_F15_.jpg,F15,80cm,55.251,T4,C3,Area way off
PXL_20240214_173800905_60cm_F12_.jpg,F12,60cm,0.856,T4,C3,
PXL_20240214_175143253_60cm_F19_.jpg,F19,60cm,5.411,T2,C2,
PXL_20240214_171717068_80cm_F1_.jpg,F1,80cm,5.994,T1,C1,
PXL_20240214_174916372_60cm_F17_.jpg,F17,60cm,2.744,T2,C2,
PXL_20240214_173433388_60cm_F10_.jpg,F10,60cm,3.819,T4,C3,
PXL_20240214_174751371_80cm_F16_.jpg,F16,80cm,9.697,T3,C2,Area is a little off
PXL_20240214_172404427_60cm_F5_.jpg,F5,60cm,3.904,T1,C1,
PXL_20240214_172735080_100cm_F7_.jpg,F7,100cm,13.876,T3,C2,Area is a little off
PXL_20240214_172357833_80cm_F5_.jpg,F5,80cm,2.921,T1,C1,
PXL_20240214_173607901_60cm_F11_.jpg,F11,60cm,0.548,T5,C3,Area is a little off
PXL_20240214_174741393_100cm_F16_.jpg,F16,100cm,8.464,T3,C2,Area is off
PXL_20240214_172516412_100cm_F6_.jpg,F6,100cm,6.5,T1,C1,Area is off
PXL_20240214_172119010_100cm_F4_.jpg,F4,100cm,8.377,T2,C2,Area is off
