images,flower_number,imagej_area,imagej_time
PXL_20240214_171637048_100cm_F1_.tif,F1,5.383,297.12
PXL_20240214_171717068_80cm_F1_.tif,F2,5.959,351
PXL_20240214_171724834_60cm_F1_.tif,F3,7.706,379.54
PXL_20240214_171819047_100cm_F2_.tif,F4,6.111,271.53
PXL_20240214_171827242_100cm_F2_.tif,F5,7.06,292.51
PXL_20240214_171837365_60cm_F2_.tif,F6,8.899,303.37
PXL_20240214_171937537_100cm_F3_.tif,F7,1.084,80.53
PXL_20240214_171953310_80cm_F3_.tif,F8,1.214,90.72
PXL_20240214_172005738_100cm_F3_.tif,F9,1.515,114.42
PXL_20240214_172351335_100cm_F5_.tif,F13,2.527,142.97
